t,NbIter,Residual,V[V0],I[V0],V[V1],I[V1],Bz,T
2.5,1,6.062608633e-15,0.000000,117231.367865,0.250000,-117417.866285,-0.805707,341.9641813
2.51,1,2.894249292e-14,0.000000,117202.196090,0.250000,-117388.689653,-0.805505,342.0633638
2.52,1,2.871516209e-14,0.000000,117173.330601,0.250000,-117359.819345,-0.805305,342.161561
2.53,1,2.127122657e-14,0.000000,117144.767997,0.250000,-117331.251962,-0.805107,342.2587829
2.54,1,8.997611563e-15,0.000000,117116.504919,0.250000,-117302.984144,-0.804911,342.3550393
2.55,1,2.328465203e-14,0.000000,117088.538048,0.250000,-117275.012572,-0.804718,342.4503398
2.56,1,1.67872855e-14,0.000000,117060.864107,0.250000,-117247.333968,-0.804526,342.544694
2.57,1,5.915541405e-15,0.000000,117033.479857,0.250000,-117219.945095,-0.804336,342.6381114
2.58,1,2.15611538e-14,0.000000,117006.382101,0.250000,-117192.842752,-0.804149,342.7306014
2.59,1,2.515101163e-14,0.000000,116979.567678,0.250000,-117166.023781,-0.803963,342.8221734
2.6,1,2.396347069e-14,0.000000,116953.033465,0.250000,-117139.485059,-0.803779,342.9128364
2.61,1,3.812281252e-14,0.000000,116926.776381,0.250000,-117113.223503,-0.803597,343.0025996
2.62,1,2.890093646e-14,0.000000,116900.793376,0.250000,-117087.236064,-0.803417,343.091472
2.63,1,4.242271202e-14,0.000000,116875.081442,0.250000,-117061.519732,-0.803239,343.1794625
2.64,1,1.928959491e-14,0.000000,116849.637604,0.250000,-117036.071534,-0.803063,343.26658
2.65,1,6.268445373e-15,0.000000,116824.458923,0.250000,-117010.888531,-0.802889,343.3528331
2.66,1,1.213437116e-14,0.000000,116799.542497,0.250000,-116985.967819,-0.802716,343.4382307
2.67,1,3.41117586e-14,0.000000,116774.885457,0.250000,-116961.306528,-0.802545,343.5227811
2.68,1,1.697628252e-14,0.000000,116750.484967,0.250000,-116936.901826,-0.802376,343.6064929
2.69,1,1.096445726e-14,0.000000,116726.338229,0.250000,-116912.750910,-0.802209,343.6893744
2.7,1,2.61489558e-14,0.000000,116702.442473,0.250000,-116888.851014,-0.802044,343.7714341
2.71,1,2.453488989e-14,0.000000,116678.794966,0.250000,-116865.199401,-0.801880,343.85268
