"T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
346.4,1,0.014425,0.001,0.089425,0
346.38,1,0.01445,0.001,0.08945,0
346.35,1,0.014475,0.001,0.089475,0
346.32,1,0.0145,0.001,0.0895,0
346.3,1,0.014525,0.001,0.089525,0
346.27,1,0.01455,0.001,0.08955,0
346.23,1,0.014575,0.001,0.089575,0
346.18,1,0.0146,0.001,0.0896,0
346.13,1,0.014625,0.001,0.089625,0
346.08,1,0.01465,0.001,0.08965,0
346.04,1,0.014675,0.001,0.089675,0
345.99,1,0.0147,0.001,0.0897,0
345.94,1,0.014725,0.001,0.089725,0
345.89,1,0.01475,0.001,0.08975,0
345.84,1,0.014775,0.001,0.089775,0
345.79,1,0.0148,0.001,0.0898,0
345.75,1,0.014825,0.001,0.089825,0
345.7,1,0.01485,0.001,0.08985,0
345.65,1,0.014875,0.001,0.089875,0
345.6,1,0.0149,0.001,0.0899,0
345.55,1,0.014925,0.001,0.089925,0
345.5,1,0.01495,0.001,0.08995,0
345.46,1,0.014975,0.001,0.089975,0
345.41,1,0.015,0.001,0.09,0
345.36,1,0.015025,0.001,0.090025,0
345.31,1,0.01505,0.001,0.09005,0
345.26,1,0.015075,0.001,0.090075,0
345.21,1,0.0151,0.001,0.0901,0
345.17,1,0.015125,0.001,0.090125,0
345.12,1,0.01515,0.001,0.09015,0
345.07,1,0.015175,0.001,0.090175,0
345.02,1,0.0152,0.001,0.0902,0
344.97,1,0.015225,0.001,0.090225,0
344.92,1,0.01525,0.001,0.09025,0
344.87,1,0.015275,0.001,0.090275,0
344.83,1,0.0153,0.001,0.0903,0
344.78,1,0.015325,0.001,0.090325,0
344.73,1,0.01535,0.001,0.09035,0
344.68,1,0.015375,0.001,0.090375,0
344.63,1,0.0154,0.001,0.0904,0
344.58,1,0.015425,0.001,0.090425,0
344.54,1,0.01545,0.001,0.09045,0
344.49,1,0.015475,0.001,0.090475,0
344.44,1,0.0155,0.001,0.0905,0
344.39,1,0.015525,0.001,0.090525,0
344.34,1,0.01555,0.001,0.09055,0
344.29,1,0.015575,0.001,0.090575,0
344.25,1,0.0156,0.001,0.0906,0
344.2,1,0.015625,0.001,0.090625,0
344.15,1,0.01565,0.001,0.09065,0
344.1,1,0.015675,0.001,0.090675,0
